Li-conc,eff,IPCC,AWARE
0.07,0.5,53.49904506666299,2.911352739141483
0.05,0.5,69.01860728523634,3.481434577815257
0.07,0.2,126.4080833470487,4.9879380647142515
0.05,0.2,165.20698835714697,6.413142641697478
