Li-conc,eff,IPCC,AWARE
0.15,0.9,7.76641259358957,0.7885403417709714
0.09999999999999999,0.9,7.823845856376232,0.8029855630275996
0.05,0.9,7.995328201561079,0.8482341175589959
0.15,0.8,7.846503777030614,0.797113187134022
0.09999999999999999,0.8,7.9108768948387524,0.8133734182971961
0.05,0.8,8.10355427593687,0.8642873430885343
0.15,0.7000000000000001,7.94947817523226,0.8081354134197514
0.09999999999999999,0.7000000000000001,8.022774487447037,0.826729197472254
0.05,0.7000000000000001,8.242702943860056,0.8849271874672076
0.15,0.6000000000000001,8.086777822791618,0.8228317136328962
0.09999999999999999,0.6000000000000001,8.171970385405144,0.8445368031597402
0.05,0.6000000000000001,8.428233396174141,0.9124469510963195
0.15,0.5000000000000001,8.278996480091763,0.8434065121042957
0.09999999999999999,0.5000000000000001,8.380844603606816,0.8694675945710634
0.05,0.5000000000000001,8.687975568851108,0.9509745843087732
0.15,0.40000000000000013,8.567325572823076,0.8742687592482453
0.09999999999999999,0.40000000000000013,8.69415616500187,0.9068636799131307
0.05,0.40000000000000013,9.077590689340978,1.0087661639510306
0.15,0.30000000000000016,9.047872862879126,0.9257057285880818
0.09999999999999999,0.30000000000000016,9.216342204876604,0.9691905902510914
0.05,0.30000000000000016,9.726948231856968,1.1050854100658718
