Li-conc,eff,IPCC,AWARE,PM
0.25,0.9,5.030967123525965,8.899321564741776,3.969898833888475e-07
0.2,0.9,5.208126260393109,9.623954021364202,4.2742178246511157e-07
0.15000000000000002,0.9,5.503393232243905,10.831674910101661,4.781416788350041e-07
0.10000000000000002,0.9,6.093929747538125,13.247116770256042,5.795815662288511e-07
0.05000000000000002,0.9,7.865544396853705,20.493442515617375,8.83901417358274e-07
0.05,0.9,7.865544396853705,20.493442515617375,8.83901417358274e-07
0.25,0.6000000000000001,4.972367481732644,8.661695175204907,3.775607298171576e-07
0.2,0.6000000000000001,5.174914612684528,9.490171920344851,4.123537072289701e-07
0.15000000000000002,0.6000000000000001,5.512495157898422,10.870966641578375,4.7034207674559935e-07
0.10000000000000002,0.6000000000000001,6.187659188443849,13.632556178573388,5.863189239974287e-07
0.05000000000000002,0.6000000000000001,8.213157114866418,21.9173249780875,9.342496817781908e-07
0.05,0.6000000000000001,8.213157114866418,21.9173249780875,9.342496817781908e-07
0.25,0.30000000000000016,4.894163094590148,8.344569661490457,3.5163143694651707e-07
0.2,0.30000000000000016,5.130591955187233,9.311632546874682,3.922445227384324e-07
0.15000000000000002,0.30000000000000016,5.52464238330033,10.923404192938015,4.5993308523876767e-07
0.10000000000000002,0.30000000000000016,6.312746671461854,14.14694759540511,5.953103365606162e-07
0.05000000000000002,0.30000000000000016,8.67706634676561,23.81757802287229,1.001442342687777e-06
0.05,0.30000000000000016,8.67706634676561,23.81757802287229,1.001442342687777e-06
