Li-conc,eff,IPCC,AWARE
0.066169154,1.0,4333.984535092297,174.24189242125354
0.04616915399999999,1.0,4336.607621268851,177.8226771362989
0.02616915399999999,1.0,4338.710785663871,180.56451848268236
0.01,1.0,4346.561017133969,190.79866333829258
0.066169154,0.7,4336.716578188658,174.26523244176957
0.04616915399999999,0.7,4340.463844394251,179.38063950392925
0.02616915399999999,0.7,4343.46836515026,183.2975559629616
0.01,0.7,4354.682982251648,197.91776383236774
0.066169154,0.3999999999999999,4343.546578672757,174.32358166610405
0.04616915399999999,0.3999999999999999,4350.104294253611,183.2755436441061
0.02616915399999999,0.3999999999999999,4355.36220535298,190.13014715584774
0.01,0.3999999999999999,4374.98778444562,215.71550983901798
