Li-conc,eff,IPCC,AWARE
0.25,0.9,3.817312488276199,2.626561113958436
0.2,0.9,3.817312488276199,2.626561113958436
0.15000000000000002,0.9,3.817312488276199,2.626561113958436
0.10000000000000002,0.9,3.817312488276199,2.626561113958436
0.05000000000000002,0.9,3.817312488276199,2.626561113958436
0.05,0.9,3.817312488276199,2.626561113958436
0.25,0.6000000000000001,3.817312488276199,2.626561113958436
0.2,0.6000000000000001,3.817312488276199,2.626561113958436
0.15000000000000002,0.6000000000000001,3.817312488276199,2.626561113958436
0.10000000000000002,0.6000000000000001,3.817312488276199,2.626561113958436
0.05000000000000002,0.6000000000000001,3.817312488276199,2.626561113958436
0.05,0.6000000000000001,3.817312488276199,2.626561113958436
0.25,0.30000000000000016,3.817312488276199,2.626561113958436
0.2,0.30000000000000016,3.817312488276199,2.626561113958436
0.15000000000000002,0.30000000000000016,3.817312488276199,2.626561113958436
0.10000000000000002,0.30000000000000016,3.817312488276199,2.626561113958436
0.05000000000000002,0.30000000000000016,3.817312488276199,2.626561113958436
0.05,0.30000000000000016,3.817312488276199,2.626561113958436
