Site name;Salton Sea;Upper Rhine Graben;Salar de Atacama;Salar de Olaroz;Salar de Cauchari-Olaroz;Salar del Hombre Muerto North;Tres Quebradas;Salar del Rincon;Salar de Arizaro;Salar de Rio Grande;Salar de Tolillar;Sal de los Angeles;Fenix;Sal de Vida;Salar de Pastos Grandes;Salar de Antofalla;Salar de Centenario;Salar de Pocitos;Pozuelos;Salar de Salinas Grandes;Maricunga;Salar de Uyuni;Twelveheads;Qinghai Yiliping;West Taijinair;East Taijinair;Jintaier Lake;Salar de Ollague;Silver Peak;Kachi;Chaerhan
abbreviation;Sal;URG;Ata;Ola;Cau;Hom;TresQ;Rin;Ari;Rio;Tol;Ang;Fen;Vid;Pas;Ant;Cent;Poc;Poz;SalG;Mari;Uyu;Twel;Yilip;WeTai;EaTai;Jint;Olla;Sil;Kach;Chaer
deposit_type;geothermal;geothermal;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;geothermal;salar;salar;salar;salar;salar;salar;salar;salar
country_location;US-WECC;DE;CL;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;CL;BOL;GB;CN;CN;CN;CN;CL;US;AR;CN 
end_Li;0.02;0.02;6.00;1.20;0.72;1.03;3.81;0.03;0.03;0.03;0.03;;0.07;0.70;3.00;0.025491803;0.030901639;0.00795082;0.016967213;0.022131148;0.90;0.07;;;;;;;0.6;;
end_Cl;12.57;5.36;33.05;;14.20;16.61;36.71;15.61;4.82;12.20;;;14.94;;;7.229590164;1.761721311;15.62295082;14.44942623;11.49721311;;16.98;;;;;;;;;
end_Na;4.36;1.97;0.07;;6.86;6.23;0.13;10.02;2.10;7.57;;;9.18;;;4.571311475;0.856557377;10.09016393;8.833770492;7.116147541;;8.78;;;;;;;;;
end_K;1.28;0.43;0.00;;4.20;4.11;2.21;0.54;0.62;0.30;;;0.68;;;0.066147541;0.24795082;0.278688525;0.243934426;0.308360656;;1.31;;;;;;;;;
end_Ca;2.27;0.46;0.06;;0.02;0.01;8.46;0.02;0.04;0.07;0.03;;0.06;;;0.043852459;0.004016393;0.049180328;0.045737705;0.118196721;;0.28;;;;;;;;;
end_Mg;0.01;0.01;1.50;;0.01;0.04;0.19;0.17;0.63;0.21;0.14;;0.15;;;0.066885246;0.186639344;0.105737705;0.151967213;0.092622951;;1.39;;;;;;;;;
end_SO4;0.01;0.02;0.24;;2.97;2.68;0.00;1.31;2.48;0.87;;;0.84;;;0.64057377;0.998688525;0.609836066;0.742622951;0.178196721;;1.78;;;;;;;;;
end_B;0.03;0.00;0.80;;0.70;0.18;0.56;0.13;0.27;0.14;0.02;;0.01;;;0.071967213;0.03295082;0.058032787;0.111967213;0.036393443;;0.06;;;;;;;;;
end_Si;0.03;0.01;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_As;0.00;0.00;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_Mn;0.11;0.00;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_Fe;0.12;0.00;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_Zn ;0.04;0.00;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_Sr;0.04;0.02;;;;;;;;;;;0.00;;;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;
end_Ba;0.02;0.00;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_H2O;67.60;80.19;58.28;;70.00;69.12;47.93;72.16;89.01;78.60;;;74.07;;;89.01008197;78.59729508;0;0;74.06757877;;69.36;;;;;;;;;
 production ; 13’335’654.81 ; 2’030’000.00 ; 70’000’000.00 ; 12’605’000.00 ; 40’000’000.00 ; 5’000’000.00 ; 20’000’000.00 ;;;; 25’000’000.00 ;; 24’000’000.00 ; 45’000’000.00 ; 24’000’000.00 ;;;;;; 15’200’000.00 ; 40’000’000.00 ;;;;;;; 10’000’000.00 ;;
operating_days;328.5;328.5;365;365;292;360;328.5;;;;292;;328.5;333;328.5;;;;;;;;;;;;;;365;;
lifetime;30;30;40;40;40;30;50;;;;;;40;40;40;;;;;;20;;;;;;;;30;;
brine_vol;437;80;477.4;180;903;100;260;;;;776;;491.7;100;600;;;;;;150;;;;;;;;781.750312;;
freshwater_reported;0;0;1;1;0;1;1;;;;0;;1;0;1;;;;;;1;;;;;;;;0;;
freshwater_vol;;;31;22;105;4.27;14;;;;;;98.7;;35;;;;;;35;;;;;;;;;;
Li_efficiency;0.5;0.5;0.35;0.45;0.53;0.46;0.51;0.77;0.77;0.77;0.77;;0.77;0.5;0.61;0.77;0.77;0.77;0.77;0.77;0.58;0.77;0.5;;;;;;0.51;;
number_wells;;;;;40;;;;;;;;;8;;;;;;;;;;;;;;;;;
well_depth_brine;1500;3600;50;50;10;50;400;;;;380;;55;280;540;;;;;;130 (avg);;;;;;;;200;;
well_depth_freshwater;0;0;10;;;;;;;;;;;;62;;;;;;;;;;;;;;;;
distance_to_processing;0;0;240;0;0;0;160;;;;0;;;;;;;;;;;;;;;;;;0;;
quicklime_reported;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;;;;;;0;0;;;;;;;1;;
second_Li_enrichment_reported;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;;;;;;0;0;;;;;;;0;;
second_Li_enrichment;;;;;4;;3.2;;;;;;;1.7;;;;;;;;;;;;;;;;;
diesel_reported;0;0;1;0;0;0;0;;;;;;;;;;;;;;0;;;;;;;;0;;
diesel_consumption;;;1557778;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motherliq_reported;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;1;;
