Li-conc,eff,IPCC,AWARE,PM
0.066169154,1.0,12.019324297364046,1.2381551842276008,2.899362259684855e-07
0.04616915399999999,1.0,16.220259990558766,1.4353981015134714,3.5761405995469067e-07
0.02616915399999999,1.0,26.842396565983858,1.934130156876465,5.287386071839765e-07
0.01,1.0,66.49037992276001,3.795687821472083,1.1674748017139186e-06
0.066169154,0.7,16.1754736274568,1.4332953106987962,3.568925482192856e-07
0.04616915399999999,0.7,22.176808795111672,1.7150708104637495,4.5357514120544235e-07
0.02616915399999999,0.7,37.35129070945359,2.4275451982176874,6.980387915494664e-07
0.01,0.7,93.99126790970254,5.0869135181049705,1.6105191310824999e-06
0.066169154,0.3999999999999999,26.565844995525943,1.921145488462257,5.242833192972266e-07
0.04616915399999999,0.3999999999999999,37.06818691052628,2.4142528959594634,6.934779408386351e-07
0.02616915399999999,0.3999999999999999,63.62352575305499,3.661082883024005,1.1212892639358686e-06
0.01,0.3999999999999999,162.74348821672393,8.314977353319286,2.7181298492751955e-06
